,locations,timeOfDay,stayTime
751,Viharamahadevi Park,Evening,45
752,Viharamahadevi Park,Night,45
754,Port City,Evening,45
755,Port City,Night,45
758,Lotus Tower,Night,45
760,Pettah Market,Evening,45
761,Pettah Market,Night,60
766,One Galle Face ,Evening,60
772,Galle Face Green,Evening,60
773,Galle Face Green,Night,45
775,Gangaramaya Temple,Evening,60
778,National Museum of Colombo,Evening,120
781,Independence Memorial Hall,Evening,45
789,Kelaniya Raja Maha Viharaya,Morning,120
790,Kelaniya Raja Maha Viharaya,Evening,200
791,Kelaniya Raja Maha Viharaya,Night,45
796,Viharamahadevi Park,Evening,120
810,One Galle Face ,Morning,120
811,One Galle Face ,Evening,200
812,One Galle Face ,Night,120
813,Colombo City Center (CCC),Morning,120
814,Colombo City Center (CCC),Evening,200
815,Colombo City Center (CCC),Night,120
816,Galle Face Green,Morning,120
817,Galle Face Green,Evening,200
818,Galle Face Green,Night,200
819,Gangaramaya Temple,Morning,45
820,Gangaramaya Temple,Evening,60
821,Gangaramaya Temple,Night,120
822,National Museum of Colombo,Morning,120
823,National Museum of Colombo,Evening,200
824,National Museum of Colombo,Night,120
825,Independence Memorial Hall,Morning,60
826,Independence Memorial Hall,Evening,120
827,Independence Memorial Hall,Night,120
840,Viharamahadevi Park,Morning,120
841,Viharamahadevi Park,Evening,200
842,Viharamahadevi Park,Night,200
845,Port City,Night,200
849,Pettah Market,Morning,200
850,Pettah Market,Evening,200
851,Pettah Market,Night,200
855,One Galle Face ,Morning,60
856,One Galle Face ,Evening,120
858,Colombo City Center (CCC),Morning,60
859,Colombo City Center (CCC),Evening,120
862,Galle Face Green,Evening,45
863,Galle Face Green,Night,60
867,National Museum of Colombo,Morning,45
871,Independence Memorial Hall,Evening,120
885,Viharamahadevi Park,Morning,60
886,Viharamahadevi Park,Evening,60
887,Viharamahadevi Park,Night,60
893,Lotus Tower,Night,120
894,Pettah Market,Morning,60
895,Pettah Market,Evening,120
896,Pettah Market,Night,200
900,One Galle Face ,Morning,60
901,One Galle Face ,Evening,200
902,One Galle Face ,Night,60
903,Colombo City Center (CCC),Morning,60
904,Colombo City Center (CCC),Evening,200
905,Colombo City Center (CCC),Night,60
906,Galle Face Green,Morning,45
907,Galle Face Green,Evening,60
908,Galle Face Green,Night,60
909,Gangaramaya Temple,Morning,60
910,Gangaramaya Temple,Evening,200
911,Gangaramaya Temple,Night,60
912,National Museum of Colombo,Morning,60
913,National Museum of Colombo,Evening,120
914,National Museum of Colombo,Night,60
915,Independence Memorial Hall,Morning,60
917,Independence Memorial Hall,Night,60
918,Dutch Museum,Morning,60
919,Dutch Museum,Evening,120
920,Dutch Museum,Night,120
921,National Art Gallery,Morning,60
922,National Art Gallery,Evening,120
923,National Art Gallery,Night,60
924,Kelaniya Raja Maha Viharaya,Morning,120
925,Kelaniya Raja Maha Viharaya,Evening,60
926,Kelaniya Raja Maha Viharaya,Night,120
931,Viharamahadevi Park,Evening,60
932,Viharamahadevi Park,Night,45
939,Pettah Market,Morning,60
940,Pettah Market,Evening,120
946,One Galle Face ,Evening,60
947,One Galle Face ,Night,60
952,Galle Face Green,Evening,120
953,Galle Face Green,Night,200
960,Independence Memorial Hall,Morning,60
970,Kelaniya Raja Maha Viharaya,Evening,120
973,Kailasanathar Swamy Kovil,Evening,60
974,Kailasanathar Swamy Kovil,Night,60
975,Viharamahadevi Park,Morning,60
976,Viharamahadevi Park,Evening,60
977,Viharamahadevi Park,Night,60
979,Port City,Evening,45
980,Port City,Night,45
984,Pettah Market,Morning,60
985,Pettah Market,Evening,60
986,Pettah Market,Night,60
991,One Galle Face ,Evening,120
997,Galle Face Green,Evening,45
1006,Independence Memorial Hall,Evening,45
1017,Kailasanathar Swamy Kovil,Morning,45
1018,Kailasanathar Swamy Kovil,Evening,45
1019,Kailasanathar Swamy Kovil,Night,45
1020,Viharamahadevi Park,Morning,45
1021,Viharamahadevi Park,Evening,60
1029,Pettah Market,Morning,120
1030,Pettah Market,Evening,120
1035,One Galle Face ,Morning,45
1036,One Galle Face ,Evening,120
1037,One Galle Face ,Night,200
1038,Colombo City Center (CCC),Morning,60
1039,Colombo City Center (CCC),Evening,60
1040,Colombo City Center (CCC),Night,120
1041,Galle Face Green,Morning,60
1042,Galle Face Green,Evening,200
1043,Galle Face Green,Night,200
1044,Gangaramaya Temple,Morning,45
1045,Gangaramaya Temple,Evening,200
1046,Gangaramaya Temple,Night,60
1050,Independence Memorial Hall,Morning,120
1051,Independence Memorial Hall,Evening,200
1052,Independence Memorial Hall,Night,200
1056,National Art Gallery,Morning,60
1057,National Art Gallery,Evening,60
1058,National Art Gallery,Night,60
1062,Kailasanathar Swamy Kovil,Morning,60
1063,Kailasanathar Swamy Kovil,Evening,60
1064,Kailasanathar Swamy Kovil,Night,60
1065,Viharamahadevi Park,Morning,60
1066,Viharamahadevi Park,Evening,60
1067,Viharamahadevi Park,Night,60
1074,Pettah Market,Morning,60
1075,Pettah Market,Evening,60
1076,Pettah Market,Night,60
1080,One Galle Face ,Morning,45
1082,One Galle Face ,Night,120
1084,Colombo City Center (CCC),Evening,60
1085,Colombo City Center (CCC),Night,120
1087,Galle Face Green,Evening,120
1088,Galle Face Green,Night,60
1089,Gangaramaya Temple,Morning,60
1090,Gangaramaya Temple,Evening,45
1092,National Museum of Colombo,Morning,120
1093,National Museum of Colombo,Evening,60
1095,Independence Memorial Hall,Morning,45
1096,Independence Memorial Hall,Evening,60
1097,Independence Memorial Hall,Night,45
1102,National Art Gallery,Evening,120
1103,National Art Gallery,Night,45
1104,Kelaniya Raja Maha Viharaya,Morning,120
1105,Kelaniya Raja Maha Viharaya,Evening,60
1106,Kelaniya Raja Maha Viharaya,Night,60
1107,Kailasanathar Swamy Kovil,Morning,60
1108,Kailasanathar Swamy Kovil,Evening,60
1109,Kailasanathar Swamy Kovil,Night,60
1110,Viharamahadevi Park,Morning,45
1111,Viharamahadevi Park,Evening,60
1112,Viharamahadevi Park,Night,120
1113,Port City,Morning,120
1115,Port City,Night,45
1119,Pettah Market,Morning,120
